ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
1172	Hs.499159	"Membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)"		MPP7	AA009593	
1173	Hs.470588	Karyopherin alpha 6 (importin alpha 7)	"Nucleocytoplasmic transport, a signal- and energy-dependent process, takes place through nuclear pore complexes embedded in the nuclear envelope. The import of proteins containing a nuclear localization signal (NLS) requires the NLS import receptor, a heterodimer of importin alpha and beta subunits also known as karyopherins. Importin alpha binds the NLS-containing cargo in the cytoplasm and importin beta docks the complex at the cytoplasmic side of the nuclear pore complex. In the presence of nucleoside triphosphates and the small GTP binding protein Ran, the complex moves into the nuclear pore complex and the importin subunits dissociate. Importin alpha enters the nucleoplasm with its passenger protein and importin beta remains at the pore. The protein encoded by this gene is a member of the importin alpha family."	KPNA6	AA009596	
1174	Hs.659317	"Transcribed locus, moderately similar to XP_508114.1 similar to transcription elongation regulator 1-like; 5730476P14Rik [Pan troglodytes]"		NA	AA009615	
1175	Data not found			NA	AA009623	
1176	Hs.471200	Neuropilin 2	"This gene encodes a member of the neuropilin family of receptor proteins. The encoded transmembrane protein binds to SEMA3C protein {sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C} and SEMA3F protein {sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F}, and interacts with vascular endothelial growth factor (VEGF). This protein may play a role in cardiovascular development, axon guidance, and tumorigenesis. Multiple transcript variants encoding distinct isoforms have been identified for this gene."	NRP2	AA009628	
1177	Hs.467637	Transcribed locus		NA	AA009697	
1178	Hs.567664	Hypothetical protein LOC124976		LOC124976	AA009738	
1179	Hs.308480	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1		PCMTD1	AA009755	
1180	Hs.104980	Dehydrogenase E1 and transketolase domain containing 1		DHTKD1	AA009773	
1181	Hs.577403	Strawberry notch homolog 1 (Drosophila)		SBNO1	AA009830	
1182	Hs.293077	Choline phosphotransferase 1		CHPT1	AA009840	
1183	Hs.83758	CDC28 protein kinase regulatory subunit 2	"CKS2 protein binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function. The CKS2 mRNA is found to be expressed in different patterns through the cell cycle in HeLa cells, which reflects specialized role for the encoded protein."	CKS2	AA010065	
1184	Hs.131431	Eukaryotic translation initiation factor 2-alpha kinase 2		EIF2AK2	AA010079	
1185	Hs.187912	"Family with sequence similarity 59, member B"		FAM59B	AA010128	
1186	Hs.497788	Glutamyl-prolyl-tRNA synthetase	"Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. The protein encoded by this gene is a multifunctional aminoacyl-tRNA synthetase that catalyzes the aminoacylation of glutamic acid and proline tRNA species. Alternative splicing has been observed for this gene, but the full-length nature and biological validity of the variant have not been determined."	EPRS	AA010158	
1187	Data not found			NA	AA010216	
1188	Hs.552649	LQK1 hypothetical protein short isoform		LQK1	AA010221	
1189	Hs.2178	"Histone cluster 2, H2be"	"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene encodes a member of the histone H2B family, and generates two transcripts through the use of the conserved stem-loop termination motif, and the polyA addition motif."	HIST2H2BE	AA010223	
1190	Hs.181297	Hypothetical protein LOC283663		LOC283663	AA010224	
1191	Hs.597858	Transcribed locus		NA	AA010383	
1192	Data not found			NA	AA010388	
1193	Hs.295449	Parvalbumin	The protein encoded by this gene is a high affinity calcium ion-binding protein that is structurally and functionally similar to calmodulin and troponin C. The encoded protein is thought to be involved in muscle relaxation.	PVALB	AA010609	
1194	Hs.274539	"3-hydroxybutyrate dehydrogenase, type 1"	The protein encoded by this gene is a lipid-requiring mitochondrial membrane enzyme. This protein has a specific requirement of phosphatidylcholine for optimal enzymatic function and is a member of the short-chain alcohol dehydrogenase superfamily. Three alternatively spliced transcript variants encoding the same protein have been observed.	BDH1	AA010619	
1195	Hs.644024	"Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4"		MLLT4	AA010818	
1196	Hs.597303	Full length insert cDNA clone ZA04F06		NA	AA010870	
1197	Hs.60456	Transcribed locus		NA	AA010872	
1198	Hs.73853	Bone morphogenetic protein 2	BMP2 belongs to the transforming growth factor-beta (TGFB) superfamily.  Bone morphogenic protein induces bone formation. BMP2 is a candidate gene for the autosomal dominant disease of fibrodysplasia (myositis) ossificans progressiva.	BMP2	AA011062	
1199	Hs.183109	Monoamine oxidase A	"This gene encodes monoamine oxidase A, an enzyme that degrades amine neurotransmitters, such as dopamine, norepinephrine, and serotonin. The protein localizes to the mitochondrial outer membrane. The gene is adjacent to a related gene on the opposite strand of chromosome X. Mutation in this gene results in monoamine oxidase deficiency, or Brunner syndrome."	MAOA	AA011096	
1200	Hs.659495	"Zinc finger, DHHC-type containing 22"		ZDHHC22	AA011100	
1201	Hs.518355	"G elongation factor, mitochondrial 1"	"Eukaryotes contain two protein translational systems, one in the cytoplasm and one in the mitochondria. Mitochondrial translation is crucial for maintaining mitochondrial function and mutations in this system lead to a breakdown in the respiratory chain-oxidative phosphorylation system and to impaired maintenance of mitochondrial DNA. This gene encodes one of the mitochondrial translation elongation factors. Its role in the regulation of normal mitochondrial function and in different disease states attributed to mitochondrial dysfunction is not known."	GFM1	AA011122	
1202	Hs.656339	"Ras homolog gene family, member J"	"ARHJ belongs to the Rho family of small GTP-binding proteins. Rho proteins regulate the dynamic assembly of cytoskeletal components for several physiologic processes, such as cell proliferation and motility and the establishment of cell polarity. They are also involved in pathophysiologic process, such as cell transformation and metastasis.[supplied by OMIM]"	RHOJ	AA011182	
1203	Hs.659311	Carbonyl reductase 4		CBR4	AA011185	
1204	Hs.513392	Transcribed locus		NA	AA011210	
1205	Hs.195060	Chromosome 11 open reading frame 57		C11orf57	AA011211	
1206	Hs.35947	Methyl-CpG binding domain protein 4	"DNA methylation is the major modification of eukaryotic genomes and plays an essential role in mammalian development. Human proteins MECP2, MBD1, MBD2, MBD3, and MBD4 comprise a family of nuclear proteins related by the presence in each of a methyl-CpG binding domain (MBD). Each of these proteins, with the exception of MBD3, is capable of binding specifically to methylated DNA. MBD4 may function to mediate the biological consequences of the methylation signal. In addition, MBD4 has protein sequence similarity to bacterial DNA repair enzymes and thus may have some function in DNA repair. Further, MBD4 gene mutations are detected in tumors with primary microsatellite-instability (MSI), a form of genomic instability associated with defective DNA mismatch repair, and MBD4 gene meets 4 of 5 criteria of a bona fide MIS target gene."	MBD4	AA011232	
1207	Hs.58650	Hedgehog acyltransferase	'Skinny hedgehog' (SKI1) encodes an enzyme that acts within the secretory pathway to catalyze amino-terminal palmitoylation of 'hedgehog' (see MIM 600725).[supplied by OMIM]	HHAT	AA011335	
1208	Hs.591810	Glycosylphosphatidylinositol specific phospholipase D1	"Many proteins are tethered to the extracellular face of eukaryotic plasma membranes by a glycosylphosphatidylinositol (GPI) anchor. The GPI-anchor is a glycolipid found on many blood cells. The protein encoded by this gene is a GPI degrading enzyme. Glycosylphosphatidylinositol specific phospholipase D1 hydrolyzes the inositol phosphate linkage in proteins anchored by phosphatidylinositol glycans, thereby releasing the attached protein from the plasma membrane."	GPLD1	AA011383	
1209	Hs.492555	Enhancer of yellow 2 homolog (Drosophila)		ENY2	AA011390	
1210	Hs.301564	YrdC domain containing (E. coli)		YRDC	AA011394	
1211	Hs.515081	Dipeptidyl-peptidase 9	"This gene encodes a protein that is a member of the S9B family in clan SC of the serine proteases. The protein has been shown to have post-proline dipeptidyl aminopeptidase activity, cleaving Xaa-Pro dipeptides from the N-termini of proteins. Although the activity of this protein is similar to that of dipeptidyl peptidase 4 (DPP4), it does not appear to be membrane bound. In general, dipeptidyl peptidases appear to be involved in the regulation of the activity of their substrates and have been linked to a variety of diseases including type 2 diabetes, obesity and cancer. Several transcript variants of this gene have been described but not fully characterized."	DPP9	AA011400	
1212	Hs.141125	"Caspase 3, apoptosis-related cysteine peptidase"	"This gene encodes a protein which is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes which undergo proteolytic processing at conserved aspartic residues to produce 2 subunits, large and small, that dimerize to form the active enzyme. This protein was shown to cleave and activate caspases 6, 7 and 9, and itself could be processed by caspases 8, 9 and 10. It is the predominant caspase involved in the cleavage of amyloid-beta 4A precursor protein, which is associated with neuronal death in Alzheimer's disease. Alternative splicing of this gene results in two transcript variants which encode the same protein."	CASP3	AA011446	
1213	Hs.658613	Transcribed locus		NA	AA011480	
1214	Data not found			NA	AA011551	
1215	Data not found			NA	AA011598	
1216	Hs.479677	"SLAIN motif family, member 2"		SLAIN2	AA011654	
1217	Hs.656485	Zinc finger protein 551		ZNF551	AA011673	
1218	Hs.644774	Transcribed locus		NA	AA011684	
1219	Hs.594034	Transcribed locus		NA	AA011690	
1220	Hs.597091	Oxysterol binding protein	"Oxysterol binding protein is an intracellular protein that is believed to transport sterols from lysosomes to the nucleus where the sterol down-regulates the genes for the LDL receptor, HMG-CoA reductase, and HMG synthetase"	OSBP	AA012838	
1221	Hs.525330	ADP-ribosylation factor 6	"ADP-ribosylation factor 6 (ARF6) is a member of the human ARF gene family. These genes encode small guanine nucleotide-binding proteins that stimulate the ADP-ribosyltransferase activity of cholera toxin and play a role in vesicular trafficking and as activators of phospholipase D.  The gene products include 6 ARF proteins and 11 ARF-like proteins and constitute 1 family of the RAS superfamily. The ARF proteins are categorized as class I (ARF1, ARF2,and ARF3), class II (ARF4 and ARF5) and class III (ARF6). The ARF6 protein is uniquely localized to the plasma membrane."	ARF6	AA012867	
1222	Hs.597871	Transcribed locus		NA	AA012911	
1223	Hs.155572	Hypothetical protein LOC137886		LOC137886	AA012939	
1224	Hs.90875	RAB interacting factor	The Sec4/Rab-related small GTP-binding proteins are involved in the regulation of intracellular vesicular transport. Mss4 stimulates GTP-GDP exchange in Sec4 and Rab and binds to a subset of genetically related Rab proteins.[supplied by OMIM]	RABIF	AA012984	
